Price,Close,High,Low,Open,Volume
Ticker,ES=F,ES=F,ES=F,ES=F,ES=F
Date,,,,,
2000-09-18,1468.5,1489.75,1436.75,1485.25,513776
2000-09-25,1454.0,1481.0,1438.25,1469.5,449847
2000-10-02,1426.25,1474.0,1411.5,1453.75,462636
2000-10-09,1386.25,1426.75,1339.0,1425.25,502287
2000-10-16,1411.0,1422.0,1324.0,1386.0,457703
2000-10-23,1401.0,1428.75,1348.5,1411.0,494895
2000-10-30,1436.75,1445.5,1387.0,1398.0,428874
2000-11-06,1372.25,1455.0,1370.5,1436.0,410926
2000-11-13,1370.5,1404.5,1335.0,1369.0,583101
2000-11-20,1346.5,1373.5,1320.25,1369.75,266221
2000-11-27,1320.75,1367.75,1296.75,1348.5,506080
2000-12-04,1353.25,1384.25,1313.25,1323.0,306322
2000-12-11,1332.0,1392.0,1317.75,1368.5,108360
2000-12-18,1327.25,1366.75,1270.25,1330.0,451492
2000-12-25,1327.0,1356.5,1318.5,1324.0,217034
2001-01-01,1304.0,1380.0,1288.75,1331.0,451974
2001-01-08,1330.0,1344.75,1287.5,1308.25,572814
2001-01-15,1348.5,1371.75,1323.5,1328.75,454827
2001-01-22,1363.25,1379.0,1341.25,1346.0,551651
2001-01-29,1353.25,1394.0,1352.75,1363.0,515359
2001-02-05,1321.0,1370.5,1318.75,1354.25,482686
2001-02-12,1305.0,1342.0,1296.25,1321.75,562446
2001-02-19,1247.5,1311.5,1217.0,1304.25,564230
2001-02-26,1234.0,1277.0,1215.5,1251.25,711560
2001-03-05,1231.75,1270.5,1227.25,1236.25,386399
2001-03-12,1169.75,1233.25,1154.0,1230.0,160338
2001-03-19,1153.25,1193.25,1088.0,1164.75,810451
2001-03-26,1174.0,1194.5,1143.75,1153.25,673121
2001-04-02,1140.5,1178.75,1098.5,1173.0,861060
2001-04-09,1192.25,1194.0,1133.5,1138.0,672709
2001-04-16,1251.5,1268.0,1167.0,1192.5,768843
2001-04-23,1258.0,1259.75,1212.75,1251.0,657201
2001-04-30,1272.75,1278.25,1235.0,1258.75,735886
2001-05-07,1251.75,1277.0,1243.5,1273.5,624549
2001-05-14,1295.75,1299.5,1236.0,1252.0,628087
2001-05-21,1279.5,1319.25,1275.75,1295.5,596499
2001-05-28,1265.0,1283.5,1246.75,1280.25,499473
2001-06-04,1268.75,1288.5,1256.5,1264.5,397149
2001-06-11,1207.5,1267.0,1204.25,1264.25,157910
2001-06-18,1235.0,1249.25,1215.5,1226.0,753683
2001-06-25,1237.75,1245.5,1206.0,1234.0,687390
2001-07-02,1193.5,1248.25,1193.0,1233.5,314460
2001-07-09,1225.0,1225.75,1174.0,1194.5,769433
2001-07-16,1214.75,1231.5,1201.5,1224.5,765460
2001-07-23,1210.0,1223.5,1168.5,1215.0,770269
2001-07-30,1219.75,1234.25,1203.0,1210.0,656386
2001-08-06,1191.25,1221.0,1172.0,1219.75,741930
2001-08-13,1166.0,1202.75,1158.25,1193.0,775492
2001-08-20,1187.5,1189.0,1155.25,1164.75,787410
2001-08-27,1138.5,1192.0,1125.5,1187.75,773872
2001-09-03,1083.25,1158.5,1081.75,1137.5,878390
2001-09-10,1095.75,1103.0,1067.5,1084.0,243100
2001-09-17,940.0,1058.25,939.0,1035.75,577851
2001-09-24,1043.75,1045.25,973.25,976.25,1108287
2001-10-01,1071.75,1087.5,1028.75,1044.25,1200367
2001-10-08,1094.0,1106.0,1054.75,1067.0,1138178
2001-10-15,1072.5,1114.5,1058.75,1092.75,1153300
2001-10-22,1102.0,1112.5,1065.75,1072.5,1097129
2001-10-29,1089.5,1103.25,1053.25,1103.25,1194592
2001-11-05,1123.5,1137.5,1088.0,1089.25,1025008
2001-11-12,1140.0,1152.25,1096.5,1122.5,1096252
2001-11-19,1152.75,1155.5,1131.0,1140.5,457392
2001-11-26,1135.25,1164.75,1125.0,1152.5,1117108
2001-12-03,1160.5,1175.25,1125.25,1137.25,1005565
2001-12-10,1126.0,1162.5,1114.25,1160.5,652895
2001-12-17,1149.75,1153.25,1119.25,1124.25,40989
2001-12-24,1159.25,1166.25,1142.75,1148.25,242246
2001-12-31,1175.25,1178.25,1136.5,1159.25,739756
2002-01-07,1147.75,1178.5,1145.25,1173.25,1162604
2002-01-14,1129.0,1150.0,1124.25,1147.5,1172930
2002-01-21,1133.25,1139.75,1117.5,1129.25,859729
2002-01-28,1123.25,1139.0,1080.75,1132.5,1287752
2002-02-04,1095.25,1124.0,1075.5,1123.25,1481866
2002-02-11,1104.75,1125.5,1094.25,1097.0,1136781
2002-02-18,1091.75,1108.0,1073.75,1104.0,1472822
2002-02-25,1132.75,1133.5,1087.0,1092.0,1553352
2002-03-04,1164.0,1173.25,1130.0,1131.0,1093327
2002-03-11,1158.5999755859375,1173.5,1147.25,1164.0,249301
2002-03-18,1149.75,1177.5,1141.25,1166.0,1360012
2002-03-25,1144.75,1156.75,1133.0,1149.0,1000720
2002-04-01,1125.5,1150.0,1120.5,1145.25,1421037
2002-04-08,1112.0,1133.5,1103.0,1126.0,1890041
2002-04-15,1126.5,1135.75,1100.0,1112.5,1497506
2002-04-22,1071.25,1128.0,1070.25,1127.5,1706817
2002-04-29,1073.0,1092.25,1063.5,1072.25,1651529
2002-05-06,1054.0,1090.0,1045.75,1073.75,1817555
2002-05-13,1105.25,1109.0,1053.5,1054.0,1799032
2002-05-20,1082.5,1106.5,1075.5,1104.75,1646393
2002-05-27,1064.0,1090.0,1054.25,1083.25,1645120
2002-06-03,1028.25,1071.0,1010.25,1066.25,2335883
2002-06-10,1009.0,1045.0,978.75,1029.25,1443615
2002-06-17,998.0,1044.75,996.0,1010.75,490462
2002-06-24,988.0,1007.25,945.5,992.5,2856543
2002-07-01,991.0,996.25,934.75,989.0,2217548
2002-07-08,916.75,995.75,900.5,990.5,3056718
2002-07-15,844.5,929.75,839.75,916.75,3584734
2002-07-22,852.75,856.25,771.0,842.75,4205062
