Price,Close,High,Low,Open,Volume
Ticker,ES=F,ES=F,ES=F,ES=F,ES=F
Datetime,,,,,
2025-01-19 23:00:00+00:00,6031.0,6038.5,6030.25,6032.25,1380
2025-01-19 23:05:00+00:00,6026.0,6031.25,6023.5,6031.25,1522
2025-01-19 23:10:00+00:00,6024.5,6025.75,6021.5,6025.75,1243
2025-01-19 23:15:00+00:00,6025.0,6026.25,6023.5,6024.75,654
2025-01-19 23:20:00+00:00,6025.75,6027.5,6024.25,6025.25,536
2025-01-19 23:25:00+00:00,6024.0,6025.5,6023.25,6025.5,468
2025-01-19 23:30:00+00:00,6021.0,6024.25,6020.75,6024.0,670
2025-01-19 23:35:00+00:00,6020.75,6022.75,6020.0,6020.75,604
2025-01-19 23:40:00+00:00,6023.75,6024.5,6020.75,6020.75,605
2025-01-19 23:45:00+00:00,6022.25,6024.0,6020.75,6023.5,693
2025-01-19 23:50:00+00:00,6023.5,6023.75,6022.0,6022.25,293
2025-01-19 23:55:00+00:00,6023.5,6023.5,6020.75,6023.5,483
2025-01-20 00:00:00+00:00,6025.0,6025.0,6023.5,6023.5,790
2025-01-20 00:05:00+00:00,6023.5,6025.25,6022.5,6024.75,695
2025-01-20 00:10:00+00:00,6026.0,6026.75,6022.5,6023.0,533
2025-01-20 00:15:00+00:00,6024.5,6026.5,6023.5,6026.25,480
2025-01-20 00:20:00+00:00,6023.75,6025.0,6022.75,6024.25,442
2025-01-20 00:25:00+00:00,6024.0,6025.0,6023.5,6024.0,265
2025-01-20 00:30:00+00:00,6023.75,6024.25,6023.5,6024.0,170
2025-01-20 00:35:00+00:00,6024.5,6026.0,6023.5,6023.75,332
2025-01-20 00:40:00+00:00,6023.25,6025.25,6022.75,6024.5,354
2025-01-20 00:45:00+00:00,6023.0,6023.25,6022.25,6023.0,221
2025-01-20 00:50:00+00:00,6025.0,6025.25,6023.0,6023.0,227
2025-01-20 00:55:00+00:00,6027.0,6027.25,6025.0,6025.0,529
2025-01-20 01:00:00+00:00,6029.5,6030.0,6025.5,6026.75,995
