Price,Close,High,Low,Open,Volume
Ticker,OJ=F,OJ=F,OJ=F,OJ=F,OJ=F
Date,,,,,
2001-09-01,79.3499984741211,82.9000015258789,78.80000305175781,79.69999694824219,0
2001-10-01,90.8499984741211,91.0,79.5,79.80000305175781,0
2001-11-01,95.0999984741211,96.19999694824219,90.75,91.0,10097
2001-12-01,89.0999984741211,95.0,89.0999984741211,94.5999984741211,26013
2002-01-01,86.4000015258789,101.0,85.4000015258789,89.69999694824219,17411
2002-02-01,92.55000305175781,94.30000305175781,86.19999694824219,87.0,26405
2002-03-01,92.5,94.44999694824219,90.9000015258789,92.75,14383
2002-04-01,90.0999984741211,93.5,87.5,92.55000305175781,28959
2002-05-01,91.80000305175781,93.5,88.80000305175781,90.5999984741211,17026
2002-06-01,91.19999694824219,93.25,90.0999984741211,92.0999984741211,23764
2002-07-01,101.5,102.0999984741211,87.75,91.3499984741211,24305
2002-08-01,99.5,106.0,98.0,100.5,38825
2002-10-01,98.5,100.0,90.75,96.5,34348
2002-11-01,102.05000305175781,102.69999694824219,96.8499984741211,97.5,11083
2003-01-01,89.19999694824219,98.5,87.4000015258789,91.0,23351
2003-02-01,82.3499984741211,89.80000305175781,82.19999694824219,89.25,31984
2003-03-01,86.75,87.5,81.4000015258789,82.1500015258789,11000
2003-04-01,81.05000305175781,89.4000015258789,81.0,86.94999694824219,36923
2003-05-01,84.05000305175781,88.3499984741211,80.25,81.25,16001
2003-07-01,79.5,85.30000305175781,78.6500015258789,85.0,12837
2003-08-01,79.19999694824219,80.19999694824219,77.0999984741211,78.80000305175781,34151
2003-09-01,76.1500015258789,82.3499984741211,73.5,79.3499984741211,19051
2003-10-01,67.5999984741211,76.5,66.80000305175781,76.5,42536
2003-11-01,68.44999694824219,74.0,66.80000305175781,67.19999694824219,21806
2003-12-01,60.75,71.30000305175781,60.04999923706055,68.4000015258789,30302
2004-01-01,61.599998474121094,66.69999694824219,60.599998474121094,61.20000076293945,28374
2004-03-01,60.29999923706055,62.79999923706055,58.54999923706055,58.599998474121094,20191
2004-04-01,58.099998474121094,61.400001525878906,55.79999923706055,59.79999923706055,49456
2004-05-01,56.099998474121094,58.349998474121094,54.20000076293945,58.29999923706055,24633
2004-06-01,61.75,63.400001525878906,54.5,56.400001525878906,50756
2004-07-01,61.5,72.80000305175781,59.900001525878906,61.29999923706055,43732
2004-09-01,87.5,87.9000015258789,74.0,74.75,24070
2004-10-01,77.25,89.4000015258789,76.30000305175781,87.0,40782
2004-11-01,74.9000015258789,79.0,69.19999694824219,78.5,30667
2004-12-01,86.0999984741211,88.25,74.9000015258789,75.25,36994
2005-01-01,82.25,86.5,77.0,85.0,24348
2005-02-01,82.5999984741211,87.6500015258789,79.8499984741211,81.5999984741211,44807
2005-03-01,99.55000305175781,101.69999694824219,82.4000015258789,82.5999984741211,25412
2005-04-01,94.5,101.44999694824219,89.8499984741211,100.0,46601
