Price,Close,High,Low,Open,Volume
Ticker,PA=F,PA=F,PA=F,PA=F,PA=F
Datetime,,,,,
2025-03-23 22:00:00+00:00,964.5,964.5,964.0,964.0,0
2025-03-23 22:01:00+00:00,964.5,964.5,964.5,964.5,2
2025-03-23 22:04:00+00:00,965.0,965.5,965.0,965.0,9
2025-03-23 22:17:00+00:00,966.5,966.5,966.0,966.0,2
2025-03-23 22:19:00+00:00,967.0,969.0,967.0,967.0,22
2025-03-23 22:20:00+00:00,967.5,967.5,967.5,967.5,1
2025-03-23 22:22:00+00:00,967.0,968.5,966.5,967.5,16
2025-03-23 22:25:00+00:00,966.5,967.0,966.5,967.0,3
2025-03-23 22:31:00+00:00,966.5,966.5,966.5,966.5,3
2025-03-23 22:32:00+00:00,966.5,966.5,966.5,966.5,1
2025-03-23 22:33:00+00:00,966.0,966.0,966.0,966.0,2
2025-03-23 22:37:00+00:00,967.5,967.5,967.5,967.5,1
2025-03-23 22:40:00+00:00,967.0,967.0,967.0,967.0,2
2025-03-23 22:45:00+00:00,966.0,966.5,966.0,966.5,5
2025-03-23 22:52:00+00:00,966.0,966.5,966.0,966.5,3
2025-03-23 23:06:00+00:00,967.0,967.0,967.0,967.0,1
2025-03-23 23:18:00+00:00,967.0,967.0,967.0,967.0,1
2025-03-23 23:56:00+00:00,967.5,967.5,967.5,967.5,1
2025-03-23 23:57:00+00:00,968.0,968.0,968.0,968.0,1
2025-03-24 00:06:00+00:00,968.0,968.0,968.0,968.0,1
2025-03-24 00:08:00+00:00,967.5,967.5,967.5,967.5,2
2025-03-24 00:09:00+00:00,967.5,968.0,967.5,968.0,3
2025-03-24 00:10:00+00:00,967.5,967.5,967.5,967.5,1
2025-03-24 00:14:00+00:00,967.5,967.5,967.5,967.5,1
2025-03-24 00:18:00+00:00,966.5,967.0,966.0,967.0,12
2025-03-24 00:19:00+00:00,967.0,967.0,967.0,967.0,1
2025-03-24 00:34:00+00:00,966.5,966.5,966.5,966.5,1
2025-03-24 00:35:00+00:00,965.5,965.5,965.5,965.5,1
2025-03-24 00:37:00+00:00,967.0,967.0,967.0,967.0,2
