Price,Close,High,Low,Open,Volume
Ticker,PA=F,PA=F,PA=F,PA=F,PA=F
Date,,,,,
1998-09-01,281.1499938964844,291.0,277.0,284.0,1065
1998-10-01,277.0,288.0,270.5,282.0,4542
1998-12-01,332.1499938964844,334.0,270.1000061035156,273.0,541
1999-01-01,336.5,340.0,307.0,333.0,2957
1999-02-01,350.6000061035156,368.0,331.1000061035156,340.0,7631
1999-03-01,358.20001220703125,372.0,345.0,350.0,1136
1999-04-01,308.0,387.0,296.0,348.0,4959
1999-05-01,341.6499938964844,348.0,280.0,305.0,6066
1999-06-01,320.29998779296875,352.5,320.0,339.0,706
1999-07-01,338.0,345.0,314.0,320.0,4574
1999-09-01,369.3999938964844,405.0,341.0,341.5,2007
1999-10-01,393.6000061035156,398.0,363.0,384.0,3507
1999-11-01,397.29998779296875,420.0,388.5,391.0,6623
1999-12-01,449.20001220703125,455.0,397.29998779296875,397.29998779296875,1152
2000-01-01,484.70001220703125,492.0,430.20001220703125,445.0,4109
2000-02-01,712.0,835.0,481.1000061035156,485.0,8852
2000-03-01,595.5,720.0,555.0,700.0,1075
2000-04-01,620.5999755859375,625.0,547.5,585.0,1633
2000-05-01,581.8499755859375,649.9000244140625,562.0999755859375,620.0,4314
2000-06-01,647.9500122070312,691.0,572.0,575.0,399
2000-07-01,818.0,828.0,618.0,624.0,2288
2000-08-01,716.75,859.0,709.0,836.0,2726
2000-09-01,714.8499755859375,779.0,705.0,710.0,1833
2000-11-01,819.0,816.0,770.0,775.0,1606
2000-12-01,954.4500122070312,975.0,816.0,816.0,138
2001-01-01,1054.800048828125,1090.0,964.0,964.0,1930
2001-02-01,837.0,1084.0,841.0,1045.0,3114
2001-03-01,744.0,825.0,734.0,790.0,216
2001-05-01,639.5499877929688,695.0,626.9500122070312,695.0,1898
2001-06-01,599.9500122070312,637.0,595.0,637.0,348
2001-08-01,453.0,489.0,428.0,462.0,2080
2001-09-01,357.0,480.0,355.0,445.0,158
2001-10-01,316.3999938964844,368.0,305.0,335.0,993
2001-11-01,350.3999938964844,348.0,310.0,317.0,1762
2001-12-01,448.0,449.5,356.5,356.5,307
2002-01-01,369.0,447.0,355.5,447.0,1245
2002-02-01,372.04998779296875,396.0,362.0,376.0,2005
2002-03-01,388.8999938964844,403.0,363.0,365.0,823
2002-04-01,355.5,394.0,355.20001220703125,385.0,1623
2002-05-01,347.3999938964844,385.0,343.0,370.0,3911
2002-06-01,319.20001220703125,358.0,314.0,348.0,331
2002-07-01,319.45001220703125,336.0,314.0,314.5,2010
2002-08-01,327.79998779296875,380.0,313.0,318.0,3872
2002-10-01,310.5,329.0,309.0,318.25,1569
2002-11-01,266.0,316.0,263.0,311.0,5242
2003-01-01,259.0,274.0,232.0,234.5,3821
2003-02-01,243.6999969482422,275.0,240.5,263.0,4385
2003-03-01,182.4499969482422,245.0,178.0,245.0,1370
2003-04-01,156.0,183.0,145.0,181.0,3654
2003-05-01,185.0,208.0,151.0,156.0,4847
2003-07-01,182.0,194.0,160.0,184.0,3919
2003-08-01,201.8000030517578,208.0,171.0,185.0,8620
2003-09-01,215.14999389648438,234.0,193.0,205.0,1973
2003-10-01,208.14999389648438,225.0,182.5,212.0,7052
2003-11-01,188.8000030517578,213.0,187.0,206.0,10091
2003-12-01,197.5,211.6999969482422,186.0,189.0,2198
2004-01-01,231.5500030517578,255.5,198.0,199.0,15372
2004-03-01,289.95001220703125,293.5,228.25,228.25,3626
2004-04-01,258.29998779296875,344.70001220703125,232.0,291.0,28774
2004-05-01,257.45001220703125,270.0,227.0,256.3999938964844,16998
2004-06-01,214.9499969482422,256.3999938964844,213.1999969482422,256.3999938964844,3103
