Price,Close,High,Low,Open,Volume
Ticker,PLD,PLD,PLD,PLD,PLD
Date,,,,,
1997-11-21,7.746527671813965,7.914930447288181,7.662326284076856,7.914930447288181,3821400
1997-11-24,7.662323474884033,7.74652483175089,7.493920761150318,7.74652483175089,541600
1997-11-25,7.746527671813965,7.746527671813964,7.641275937142579,7.70442697794541,425000
1997-11-26,7.662323474884033,7.74652483175089,7.662323474884033,7.74652483175089,165200
1997-11-28,7.746527671813965,7.746527671813964,7.662326284076856,7.662326284076856,60500
1997-12-01,7.767581462860107,7.78863181912802,7.746531106592194,7.7675814628601065,120300
1997-12-02,7.746527671813965,7.788628365682518,7.70442697794541,7.788628365682518,164200
1997-12-03,7.746527671813965,7.7675780187482415,7.725477324879687,7.7675780187482415,540000
1997-12-04,7.746527671813965,7.7675780187482415,7.746527671813964,7.746527671813964,43800
1997-12-05,7.767581462860107,7.872833244199675,7.7044303940563665,7.7044303940563665,147500
1997-12-08,7.809677600860596,7.830727944798226,7.746526569047708,7.746526569047708,74900
1997-12-09,7.809677600860596,7.809677600860597,7.746526569047708,7.788627256922966,61000
1997-12-10,7.767581462860107,7.830732531663847,7.7675814628601065,7.78863181912802,104500
1997-12-11,7.767581462860107,7.78863181912802,7.746531106592194,7.746531106592194,153600
1997-12-12,7.809677600860596,7.809677600860597,7.767576912985337,7.767576912985337,59900
1997-12-15,7.809677600860596,7.809677600860597,7.767576912985337,7.788627256922966,24400
1997-12-16,8.003288269042969,8.045633709619915,7.855079227023655,7.855079227023655,107900
1997-12-17,8.193839073181152,8.215011783964567,8.024457386913841,8.045630097697256,63900
1997-12-18,8.215012550354004,8.215012550354004,8.172667124836716,8.172667124836716,35700
1997-12-19,8.087974548339844,8.215010797790207,8.045629131856389,8.215010797790207,134400
1997-12-22,8.130319595336914,8.17266500989596,8.087974180777866,8.10914688805739,34400
1997-12-23,8.130319595336914,8.193837717175484,8.130319595336914,8.130319595336914,88500
1997-12-24,8.130319595336914,8.130319595336914,8.066801473498344,8.10914688805739,63300
1997-12-26,8.024456977844238,8.087975106956462,7.98211155843609,8.087975106956462,34600
1997-12-29,8.066802978515625,8.151493823434425,8.045630267285926,8.087975689745326,159600
1997-12-30,8.236181259155273,8.236181259155273,8.024454234498325,8.1303177468268,52400
1997-12-31,8.511428833007812,8.511428833007812,8.257356330529968,8.257356330529968,215700
1998-01-02,8.426738739013672,8.469084159812736,8.342047897415545,8.469084159812736,52000
1998-01-05,8.342047691345215,8.44791124072777,8.342047691345215,8.384393111098237,42300
1998-01-06,8.36322021484375,8.384392924248418,8.342047505439082,8.384392924248418,26900
1998-01-07,8.342047691345215,8.384393111098237,8.278529561715683,8.363220401221726,49500
1998-01-08,8.320867538452148,8.384385611264761,8.257349465639537,8.299694847514612,95700
1998-01-09,8.257354736328125,8.299700145232372,8.172663918519632,8.299700145232372,37800
1998-01-12,8.278526306152344,8.278526306152344,8.045626589099465,8.172662798401035,24500
1998-01-13,8.320867538452148,8.342040229389687,8.278522156577074,8.299694847514612,190300
1998-01-14,8.384387016296387,8.384387016296387,8.21500546041161,8.299696238353999,201800
1998-01-15,8.299696922302246,8.384387707223697,8.299696922302246,8.384387707223697,39200
1998-01-16,8.299696922302246,8.320869618532608,8.25735152984152,8.320869618532608,13600
1998-01-20,8.342047691345215,8.384393111098237,8.320874981468705,8.342047691345215,63200
1998-01-21,8.384387016296387,8.42673240526758,8.320868932839597,8.36321432181079,90400
1998-01-22,8.36322021484375,8.426738343057753,8.342047505439082,8.426738343057753,99600
1998-01-23,8.278526306152344,8.384389813903653,8.278526306152344,8.384389813903653,11200
1998-01-26,8.172660827636719,8.257351613415336,8.172660827636719,8.236178916970681,50500
1998-01-27,8.215012550354004,8.299703401388582,8.130321699319428,8.215012550354004,17300
1998-01-28,8.130319595336914,8.17266500989596,8.087974180777866,8.17266500989596,68700
1998-01-29,8.130319595336914,8.17266500989596,8.04562876621882,8.04562876621882,67700
1998-01-30,8.299696922302246,8.299696922302246,8.130315352459343,8.130315352459343,33000
1998-02-02,8.384387016296387,8.384387016296387,8.278523543868403,8.299696238353999,31000
1998-02-03,8.299696922302246,8.384387707223697,8.299696922302246,8.342042314762972,18300
1998-02-04,8.257354736328125,8.320872849684495,8.257354736328125,8.320872849684495,29200
1998-02-05,8.299696922302246,8.342042314762972,8.25735152984152,8.25735152984152,10900
1998-02-06,8.299696922302246,8.299696922302246,8.17266074492007,8.299696922302246,129200
1998-02-09,8.236181259155273,8.236181259155273,8.109145044361105,8.193835854223884,101100
1998-02-10,8.342047691345215,8.342047691345215,8.236184141962662,8.257356851839173,35000
1998-02-11,8.342047691345215,8.342047691345215,8.278529561715683,8.342047691345215,40400
1998-02-12,8.299696922302246,8.342042314762972,8.236178833611158,8.299696922302246,34500
1998-02-13,8.299696922302246,8.342042314762972,8.25735152984152,8.320869618532608,73100
1998-02-17,8.405563354492188,8.405563354492188,8.299699836173646,8.342045243501062,110500
1998-02-18,8.172660827636719,8.36321509563861,8.0879700418581,8.36321509563861,85500
1998-02-19,8.130319595336914,8.215010424455006,8.130319595336914,8.215010424455006,7900
1998-02-20,8.193839073181152,8.257357205531394,8.130320940830911,8.130320940830911,82700
1998-02-23,8.151494979858398,8.215013122558593,8.130322265625,8.172667694091798,26300
1998-02-24,8.087974548339844,8.19383808954848,8.087974548339844,8.151492673065025,8700
1998-02-25,8.045625686645508,8.109143784171657,8.045625686645508,8.087971084996274,45600
1998-02-26,8.003288269042969,8.087979150196864,8.003288269042969,8.045633709619915,21300
1998-02-27,7.960936069488525,8.066799581050873,7.960936069488525,8.003281474113464,42700
1998-03-02,7.939767360687256,8.04563092549642,7.939767360687256,8.04563092549642,102800
1998-03-03,7.982112407684326,8.02445783159777,7.939766983770881,7.939766983770881,24500
1998-03-04,7.918595314025879,8.003286172999418,7.918595314025879,8.003286172999418,108100
1998-03-05,7.939767360687256,7.9609400736490885,7.918594647725423,7.918594647725423,43100
1998-03-06,7.960936069488525,8.066799581050873,7.939763367176056,7.939763367176056,17400
1998-03-09,8.130319595336914,8.193837717175484,7.960937937100728,7.960937937100728,105300
1998-03-10,8.130319595336914,8.215010424455006,8.130319595336914,8.17266500989596,89800
1998-03-11,8.193839073181152,8.193839073181152,8.130320940830911,8.130320940830911,8200
1998-03-12,8.130319595336914,8.193837717175484,8.130319595336914,8.193837717175484,103000
1998-03-13,8.087974548339844,8.130319964823297,8.066801840098115,8.066801840098115,438900
1998-03-16,8.098115921020508,8.119596334604116,7.990713853102464,8.119596334604116,16000
1998-03-17,8.07663345336914,8.098113861489804,8.033672637127815,8.055153045248478,15300
1998-03-18,8.07663345336914,8.119594269610467,8.07663345336914,8.07663345336914,39800
1998-03-19,8.205513954162598,8.205513954162598,8.07663153603439,8.07663153603439,100200
1998-03-20,8.334399223327637,8.377360044066439,8.18403635074183,8.18403635074183,137800
1998-03-23,8.377358436584473,8.420319249079776,8.334397624089167,8.334397624089167,13400
1998-03-24,8.334399223327637,8.420320864805241,8.334399223327637,8.420320864805241,10800
1998-03-25,8.355876922607422,8.420318132807479,8.334396519207402,8.377357326007441,18700
1998-03-26,8.506237983703613,8.570679180549853,8.420316387908628,8.46327718580612,22800
1998-03-27,8.57068157196045,8.57068157196045,8.463279547249165,8.506240357133679,45500
1998-03-30,8.463278770446777,8.570680785300164,8.4417983674761,8.570680785300164,20000
1998-03-31,8.291435241699219,8.420317654782627,8.291435241699219,8.420317654782627,113200
1998-04-01,8.291435241699219,8.334396046060355,8.184033230796379,8.26995483951865,32600
1998-04-02,8.248475074768066,8.441798709332943,8.248475074768066,8.334396690130234,58100
1998-04-03,8.07663345336914,8.226996310213778,7.9907118208864905,8.226996310213778,64100
1998-04-06,7.990708351135254,8.098110345102127,7.96922795234188,8.076629946308751,114700
1998-04-07,7.904788494110107,7.969229704659918,7.904788494110107,7.947749301143315,139600
1998-04-08,8.055152893066406,8.055152893066406,7.947750854492187,7.969231262207031,24700
1998-04-09,8.07663345336914,8.07663345336914,8.033672637127815,8.07663345336914,125900
1998-04-13,7.969231605529785,8.076633648730995,7.947751196889543,8.076633648730995,61300
1998-04-14,7.969231605529785,7.969231605529785,7.861829562328575,7.926270788249301,93300
1998-04-15,8.07663345336914,8.119594269610467,7.9477510046451645,7.9477510046451645,8100
1998-04-16,7.947752475738525,8.033674124124888,7.904791651545343,8.033674124124888,21100
1998-04-17,7.926271438598633,7.969232259404046,7.818869386585101,7.926271438598633,103200
1998-04-20,7.8618268966674805,7.99070930480957,7.840346495310465,7.99070930480957,20600
1998-04-21,7.797384262084961,7.818864659501173,7.754423467252537,7.818864659501173,32700
1998-04-22,8.033672332763672,8.07663314737738,7.75442703777456,7.75442703777456,67900
1998-04-23,8.033672332763672,8.07663314737738,7.969231110843107,8.033672332763672,16500
1998-04-24,8.07663345336914,8.16255508585179,8.033672637127815,8.033672637127815,24700
1998-04-27,7.926271438598633,8.076634311417576,7.926271438598633,8.033673490612165,6800
1998-04-28,7.904788494110107,8.03367091520973,7.904788494110107,8.03367091520973,16400
1998-04-29,7.947752475738525,7.9692328878351155,7.9477524757385245,7.9692328878351155,12500
1998-04-30,7.904788494110107,8.03367091520973,7.904788494110107,7.990710108176522,15900
1998-05-01,8.269957542419434,8.269957542419434,7.904790586000914,7.904790586000914,72100
1998-05-04,8.506237983703613,8.592159579498599,8.291433994216149,8.291433994216149,102900
1998-05-05,8.506237983703613,8.549198781601106,8.377355590011135,8.549198781601106,73300
1998-05-06,8.420318603515625,8.506240221918844,8.377357794314014,8.506240221918844,65800
1998-05-07,8.549201965332031,8.549201965332031,8.42031952364361,8.42031952364361,69100
1998-05-08,8.420318603515625,8.549201031120456,8.398838198914818,8.549201031120456,55600
1998-05-11,8.07663345336914,8.420319983299743,8.07663345336914,8.420319983299743,53400
1998-05-12,8.055152893066406,8.119594116210937,7.990711669921875,8.119594116210937,57700
1998-05-13,8.07663345336914,8.119594269610467,8.07663345336914,8.098113861489804,3300
1998-05-14,8.07663345336914,8.119594269610467,8.07663345336914,8.07663345336914,1600
1998-05-15,8.119590759277344,8.119590759277344,8.076629961609209,8.076629961609209,27300
1998-05-18,8.141077041625977,8.141077041625977,8.098116212910272,8.141077041625977,27000
1998-05-19,8.033672332763672,8.141074369297945,8.033672332763672,8.141074369297945,9600
1998-05-20,8.012191772460938,8.076632993150973,7.947750551770904,8.076632993150973,15300
1998-05-21,7.947752475738525,8.09811536041466,7.9477524757385245,8.055154536221478,82800
1998-05-22,7.990708351135254,7.990708351135255,7.947747553548505,7.947747553548505,2500
1998-05-26,8.033672332763672,8.1625547766048,7.990711518149962,7.990711518149962,96500
1998-05-27,8.055152893066406,8.055152893066406,7.947750854492187,7.947750854492187,49200
1998-05-28,7.990708351135254,8.055149547515377,7.96922795234188,8.033669148722003,23200
1998-05-29,8.18403148651123,8.18403148651123,7.990707908089705,7.990707908089705,48000
1998-06-01,8.119590759277344,8.226992753447679,8.098110360443277,8.226992753447679,77300
1998-06-02,8.098115921020508,8.098115921020508,8.0766355074369,8.0766355074369,11400
1998-06-03,8.07663345336914,8.098113861489804,8.07663345336914,8.098113861489804,521600
1998-06-04,8.098115921020508,8.119596334604116,8.0766355074369,8.0766355074369,6000
1998-06-05,8.141077041625977,8.184037870341681,8.141077041625977,8.141077041625977,52400
1998-06-08,8.07663345336914,8.184035493972454,8.07663345336914,8.184035493972454,40800
1998-06-09,7.969231605529785,8.055153240090753,7.947751196889543,8.033672831450511,13500
1998-06-10,7.990708351135254,8.01218874992863,7.9262671547551315,7.96922795234188,25200
1998-06-11,7.8618268966674805,7.99070930480957,7.732944488525391,7.99070930480957,33100
1998-06-12,7.7759013175964355,7.818862098356637,7.7759013175964355,7.818862098356637,46100
1998-06-15,7.6899847984313965,7.775906416290965,7.668504393966504,7.775906416290965,33800
1998-06-16,7.7759013175964355,7.818862098356637,7.689979756076033,7.689979756076033,13000
1998-06-17,7.926271438598633,7.926271438598633,7.732947744974275,7.732947744974275,59700
1998-06-18,8.334399223327637,8.334399223327637,7.797388964092609,7.861830195200812,141400
1998-06-19,8.248475074768066,8.269955478608608,8.18403386324644,8.269955478608608,116200
1998-06-22,8.07663345336914,8.205515902093117,7.9907118208864905,8.205515902093117,66100
1998-06-23,8.055152893066406,8.055152893066406,8.033672485351563,8.033672485351563,36100
1998-06-24,8.226995468139648,8.248475874061684,7.990711002997257,8.033671814841329,97100
1998-06-25,8.269957542419434,8.291437951620523,8.119594678011808,8.248477133218344,158000
1998-06-26,8.367400169372559,8.410980378588041,8.236659541726112,8.302029855549335,59300
1998-06-29,8.71604061126709,8.71604061126709,8.2366583776474,8.367398986816406,81900
1998-06-30,8.541720390319824,8.716041214612066,8.454559978173704,8.716041214612066,298200
1998-07-01,8.432770729064941,8.541721255280251,8.389190518578816,8.541721255280251,14900
1998-07-02,8.389193534851074,8.41098364792861,8.389193534851074,8.41098364792861,14500
1998-07-06,8.367400169372559,8.3891902739803,8.280239750941595,8.3891902739803,19000
1998-07-07,8.51993179321289,8.563512006988915,8.323820831220777,8.367401044996804,36100
1998-07-08,8.410981178283691,8.54172181836064,8.410981178283691,8.51993171168115,10000
1998-07-09,8.345610618591309,8.367400724645073,8.258450194376257,8.367400724645073,21100
1998-07-10,8.367400169372559,8.367400169372559,8.302029855549335,8.302029855549335,13700
1998-07-13,8.432770729064941,8.541721255280251,8.323820202849632,8.367400413335755,207600
1998-07-14,8.454564094543457,8.519934435480648,8.454564094543457,8.476354208189187,5500
1998-07-15,8.49814224243164,8.49814224243164,8.410981809175931,8.454562025803785,16100
1998-07-16,8.541720390319824,8.541720390319824,8.454559978173704,8.454559978173704,27200
1998-07-17,8.672466278076172,8.672466278076172,8.454565115310439,8.454565115310439,376900
1998-07-20,8.476353645324707,8.628884430716154,8.45456353312593,8.628884430716154,37100
1998-07-21,8.563511848449707,8.650672274388127,8.454561316026682,8.454561316026682,31200
1998-07-22,8.51993179321289,8.585302113876928,8.476351579436866,8.585302113876928,13700
1998-07-23,8.585298538208008,8.585298538208008,8.454557951331743,8.541718342582588,18600
1998-07-24,8.541720390319824,8.585300596392884,8.541720390319824,8.585300596392884,22900
1998-07-27,8.302032470703125,8.498143473948081,8.280242359231464,8.498143473948081,35200
1998-07-28,8.214868545532227,8.2802388522606,8.214868545532227,8.2802388522606,23200
1998-07-29,8.193078994750977,8.258449305879308,8.193078994750977,8.193078994750977,31400
1998-07-30,8.323822975158691,8.345613087659107,8.214872412656614,8.214872412656614,41100
1998-07-31,8.323822975158691,8.498143875162015,8.323822975158691,8.323822975158691,186500
1998-08-03,8.258453369140625,8.389194055723326,8.258453369140625,8.367403941292876,104100
1998-08-04,8.236662864685059,8.389193658475522,8.214872751286421,8.236662864685059,181000
1998-08-05,8.149502754211426,8.280243440107865,8.127712639895352,8.280243440107865,37300
1998-08-06,8.236662864685059,8.236662864685059,8.105922184293231,8.105922184293231,27000
1998-08-07,8.193078994750977,8.32381961700764,8.193078994750977,8.280239409588752,288500
1998-08-10,8.258453369140625,8.258453369140625,8.149502796988374,8.193083025849274,60100
1998-08-11,8.236662864685059,8.280243091482333,8.171292524489145,8.214872751286421,37800
1998-08-12,8.236662864685059,8.280243091482333,8.214872751286421,8.280243091482333,32200
1998-08-13,8.236662864685059,8.236662864685059,7.93160127710413,8.214872751286421,172200
1998-08-14,8.236662864685059,8.280243091482333,8.214872751286421,8.280243091482333,24500
1998-08-17,8.323822975158691,8.367403200159522,8.258452637657445,8.302032862658276,50100
1998-08-18,8.345610618591309,8.4109809367526,8.323820512537546,8.323820512537546,27900
