Price,Close,High,Low,Open,Volume
Ticker,PL=F,PL=F,PL=F,PL=F,PL=F
Date,,,,,
1997-10-01,404.20001220703125,408.0,401.5,404.5,3875
1997-11-01,383.29998779296875,407.70001220703125,378.0,407.20001220703125,26921
1997-12-01,370.79998779296875,389.0,339.5,381.0,37356
1998-01-01,388.1000061035156,394.5,355.5,370.0,7424
1998-04-01,400.3999938964844,440.0,396.0,409.5,9066
1998-05-01,368.20001220703125,410.0,358.5,396.5,32515
1998-06-01,361.6000061035156,369.70001220703125,345.29998779296875,367.0,31197
1998-07-01,377.6000061035156,405.0,362.5,362.5,5570
1998-08-01,359.5,387.5,349.1000061035156,375.0,25698
1998-09-01,353.3999938964844,374.0,346.0,362.0,34351
1998-10-01,336.3999938964844,356.0,334.0,354.0,8308
1998-12-01,364.5,366.0,341.5,354.0,33913
1999-01-01,346.8999938964844,365.0,342.20001220703125,363.79998779296875,12115
1999-02-01,381.70001220703125,388.0,347.0,348.0,50052
1999-03-01,359.1000061035156,381.5,355.0,380.5,40823
1999-04-01,354.5,367.0,346.0,358.1000061035156,8358
1999-05-01,365.3999938964844,366.5,346.1000061035156,354.0,24885
1999-06-01,351.0,370.5,341.5,361.5,50917
1999-07-01,344.0,362.0,341.5,349.0,7877
1999-09-01,388.8999938964844,420.0,346.0,348.5,62678
1999-10-01,401.20001220703125,435.0,392.0,393.0,8663
1999-11-01,418.79998779296875,434.0,395.5,399.1000061035156,28775
1999-12-01,430.20001220703125,434.0,407.1000061035156,420.5,24376
2000-01-01,455.0,459.0,408.0,428.0,7739
2000-02-01,471.70001220703125,555.0,448.0,455.0,28001
2000-03-01,496.3999938964844,499.79998779296875,445.0,474.0,19033
2000-04-01,500.0,800.0,408.0,496.5,8546
2000-05-01,539.4000244140625,555.0,466.0,496.0,22741
2000-06-01,565.5,575.0,525.0,538.0,30560
2000-07-01,580.0,595.0,539.0,548.0,3492
2000-08-01,586.7000122070312,610.0,559.0,587.0,13953
2000-09-01,578.7999877929688,614.0,557.5,588.0,21025
2000-11-01,605.9000244140625,609.7000122070312,574.0,578.0999755859375,12062
2000-12-01,609.5999755859375,629.9000244140625,598.0,609.0,18062
2001-01-01,601.0999755859375,640.0,596.5,604.0,4358
2001-02-01,610.0,614.0,588.5,598.7999877929688,12012
2001-03-01,555.0,609.0,554.5,609.0,19907
2001-05-01,603.0999755859375,639.0,596.0,597.0,14606
2001-06-01,560.0999755859375,605.9000244140625,557.5,594.0,15773
2001-08-01,443.0,484.0,422.0,471.0,11355
2001-09-01,433.29998779296875,498.0,429.0,446.79998779296875,7593
2001-10-01,412.5,466.0,406.0,420.5,2413
2001-11-01,449.29998779296875,450.0,412.20001220703125,413.0,10087
2001-12-01,493.0,491.0,451.0,454.0,13723
2002-01-01,465.20001220703125,490.0,466.29998779296875,490.0,651
2002-03-01,515.7000122070312,515.7000122070312,515.0,515.0,3
2002-04-01,532.5,561.5999755859375,517.7000122070312,517.7000122070312,1521
2002-05-01,545.9000244140625,553.0,513.0,531.0,12224
2002-06-01,537.2999877929688,572.0,538.0,544.0,15477
2002-07-01,524.5999755859375,540.0,519.0,528.0,2380
2002-08-01,565.7999877929688,578.0,516.0,521.0,18255
2002-10-01,571.7999877929688,602.0,559.0,570.0,2740
2002-11-01,581.9000244140625,602.5,565.0,572.0,9843
2003-01-01,658.9000244140625,660.0,605.0,610.0,3082
2003-02-01,672.5,694.0,642.5,664.0,14809
2003-03-01,648.4000244140625,707.0,619.0,670.0999755859375,24616
2003-04-01,599.2999877929688,650.0,590.0,643.2000122070312,3901
2003-05-01,636.7999877929688,678.0,593.5,602.0,18660
2003-07-01,685.7000122070312,703.0,657.0,679.0,3130
2003-08-01,708.5999755859375,715.0,673.0,687.0,11659
2003-09-01,706.9000244140625,718.7999877929688,688.0,712.5,22287
2003-10-01,754.9000244140625,759.0,705.0,710.0,1454
2003-12-01,811.2999877929688,835.0,790.7000122070312,790.7000122070312,2756
2004-01-01,830.2999877929688,885.0,816.0,818.0,5797
2004-03-01,908.7000122070312,924.0,869.0,881.5,27416
2004-04-01,863.5,954.0,840.0,905.0,687
2004-07-01,817.9000244140625,839.0,791.0,810.7000122070312,3587
2004-09-01,861.0,884.7000122070312,825.0,869.9000244140625,19747
2004-10-01,833.0,869.5,815.0,861.0,6087
2004-11-01,872.2999877929688,882.7999877929688,821.2000122070312,836.0,18300
2004-12-01,863.7000122070312,887.0,813.0,872.0,28743
2005-01-01,873.7999877929688,950.0,845.0,857.2000122070312,2668
2005-02-01,866.0,885.0,847.0,871.0,20267
2005-03-01,870.5999755859375,889.0,854.7999877929688,866.0,27356
2005-04-01,868.5999755859375,884.0,859.0,874.0,4206
2005-06-01,883.5,905.0,862.0,864.7999877929688,35846
2005-07-01,897.9000244140625,905.0,862.5,884.0,4033
2005-08-01,894.5,930.0,883.2999877929688,899.0,24961
2005-09-01,930.2999877929688,938.5,893.0,896.0,32564
2005-10-01,942.4000244140625,950.0,915.5,925.0,553
2005-11-01,952.5,952.5,952.5,952.5,0
2005-12-01,973.0,1008.9000244140625,961.0,1008.9000244140625,6142
2006-03-01,1059.4000244140625,1095.0,1035.0,1037.0,13623
2006-04-01,1163.300048828125,1163.800048828125,1065.0,1070.800048828125,3555
2006-05-01,1246.800048828125,1347.0,1163.0,1163.699951171875,32285
2006-06-01,1246.699951171875,1263.5,1095.0,1252.0,32469
2006-07-01,1242.0,1275.0,1203.0,1246.699951171875,2351
2006-09-01,1141.199951171875,1165.0,1131.5,1149.0,2545
2006-11-01,1150.5999755859375,1154.0,1147.4000244140625,1154.0,2097
2006-12-01,1139.300048828125,1142.0,1110.0,1118.0,1205
2007-01-01,1180.699951171875,1194.0,1119.0,1147.0,324
2007-02-01,1193.0,1193.0,1193.0,1193.0,3081
2007-03-01,1248.300048828125,1252.199951171875,1234.0,1241.0,1635
2007-06-01,1279.0,1285.0,1273.5,1273.5,1699
2007-08-01,1271.5999755859375,1297.0,1228.0,1288.9000244140625,0
2007-09-01,1395.199951171875,1395.5,1273.0,1273.699951171875,6583
2007-10-01,1468.0,1473.300048828125,1355.0,1407.5,4826
2007-12-01,1528.4000244140625,1539.0,1513.0,1525.4000244140625,2127
2008-01-01,1736.9000244140625,1746.0999755859375,1523.5999755859375,1529.9000244140625,734
2008-02-01,2155.699951171875,2163.199951171875,2113.800048828125,2115.0,1
2008-03-01,2024.4000244140625,2251.10009765625,1852.300048828125,2216.60009765625,3914
