Price,Close,High,Low,Open,Volume
Ticker,YM=F,YM=F,YM=F,YM=F,YM=F
Date,,,,,
2002-04-01,10290.0,10340.0,10222.0,10246.0,4234
2002-04-08,10194.0,10399.0,10105.0,10277.0,29095
2002-04-15,10252.0,10344.0,10040.0,10196.0,21866
2002-04-22,9865.0,10263.0,9860.0,10247.0,31241
2002-04-29,9986.0,10114.0,9806.0,9907.0,27919
2002-05-06,9930.0,10148.0,9781.0,10004.0,31984
2002-05-13,10337.0,10364.0,9915.0,9938.0,28640
2002-05-20,10093.0,10335.0,10062.0,10335.0,30009
2002-05-27,9905.0,10143.0,9801.0,10125.0,28028
2002-06-03,9590.0,9990.0,9468.0,9899.0,36952
2002-06-10,9480.0,9764.0,9250.0,9614.0,18754
2002-06-17,9267.0,9736.0,9205.0,9515.0,22121
2002-06-24,9230.0,9405.0,8864.0,9270.0,35077
2002-07-01,9392.0,9412.0,8893.0,9225.0,18780
2002-07-08,8648.0,9393.0,8590.0,9393.0,39132
2002-07-15,7998.0,8721.0,7948.0,8636.0,46673
2002-07-22,8267.0,8306.0,7460.0,7920.0,49974
2002-07-29,8300.0,8770.0,8185.0,8290.0,50115
2002-08-05,8725.0,8791.0,7980.0,8295.0,48816
2002-08-12,8765.0,8858.0,8350.0,8721.0,44091
2002-08-19,8868.0,9081.0,8700.0,8830.0,39091
2002-08-26,8633.0,9024.0,8557.0,8875.0,44494
2002-09-02,8433.0,8580.0,8209.0,8568.0,41403
2002-09-09,8327.0,8760.0,8249.0,8428.0,27262
2002-09-16,7945.0,8600.0,7893.0,8333.0,29437
2002-09-23,7663.0,7994.0,7604.0,7915.0,78654
2002-09-30,7550.0,7985.0,7429.0,7650.0,93488
2002-10-07,7862.0,7885.0,7174.0,7521.0,120040
2002-10-14,8295.0,8360.0,7734.0,7825.0,100913
2002-10-21,8440.0,8558.0,8210.0,8285.0,94159
2002-10-28,8490.0,8550.0,8163.0,8450.0,95372
2002-11-04,8495.0,8785.0,8480.0,8575.0,85299
2002-11-11,8566.0,8579.0,8280.0,8490.0,98074
2002-11-18,8796.0,8876.0,8398.0,8562.0,88796
2002-11-25,8870.0,8960.0,8660.0,8820.0,63414
2002-12-02,8657.0,9044.0,8486.0,8870.0,108807
2002-12-09,8416.0,8675.0,8398.0,8675.0,48159
2002-12-16,8375.0,8645.0,8329.0,8402.0,17366
2002-12-23,8270.0,8545.0,8261.0,8502.0,39991
2002-12-30,8604.0,8621.0,8221.0,8261.0,73393
2003-01-06,8767.0,8802.0,8561.0,8630.0,119315
2003-01-13,8583.0,8864.0,8538.0,8761.0,105360
2003-01-20,8113.0,8610.0,8087.0,8593.0,119475
2003-01-27,8047.0,8141.0,7848.0,8116.0,141116
2003-02-03,7853.0,8133.0,7809.0,8080.0,155820
2003-02-10,7925.0,8048.0,7617.0,7875.0,155730
2003-02-17,8000.0,8066.0,7844.0,7949.0,109949
2003-02-24,7920.0,8041.0,7706.0,8024.0,150964
2003-03-03,7735.0,7980.0,7556.0,7938.0,154884
2003-03-10,7876.0,7932.0,7418.0,7727.0,99802
2003-03-17,8289.0,8327.0,7742.0,7820.0,45213
2003-03-24,8120.0,8404.0,8080.0,8391.0,171005
2003-03-31,8250.0,8354.0,7891.0,8075.0,174275
2003-04-07,8178.0,8500.0,8118.0,8358.0,178940
2003-04-14,8310.0,8490.0,8157.0,8201.0,133533
2003-04-21,8286.0,8509.0,8239.0,8339.0,193073
2003-04-28,8545.0,8570.0,8254.0,8283.0,230274
2003-05-05,8578.0,8622.0,8445.0,8532.0,223082
2003-05-12,8675.0,8734.0,8546.0,8590.0,197295
2003-05-19,8592.0,8635.0,8399.0,8629.0,204715
2003-05-26,8852.0,8873.0,8530.0,8593.0,171413
2003-06-02,9055.0,9215.0,8852.0,8890.0,248922
2003-06-09,9131.0,9250.0,8940.0,9045.0,112527
2003-06-16,9252.0,9366.0,9100.0,9103.0,55883
2003-06-23,8950.0,9163.0,8943.0,9140.0,209625
2003-06-30,9035.0,9131.0,8847.0,8975.0,161045
2003-07-07,9097.0,9240.0,8971.0,9060.0,224008
2003-07-14,9155.0,9257.0,8983.0,9111.0,241984
2003-07-21,9254.0,9281.0,9013.0,9150.0,285729
2003-07-28,9140.0,9343.0,9115.0,9282.0,274200
2003-08-04,9182.0,9192.0,8968.0,9120.0,248897
2003-08-11,9312.0,9329.0,9121.0,9179.0,205973
2003-08-18,9343.0,9498.0,9310.0,9320.0,237277
2003-08-25,9409.0,9421.0,9227.0,9342.0,213559
2003-09-01,9505.0,9617.0,9377.0,9432.0,212918
2003-09-08,9473.0,9605.0,9381.0,9502.0,122921
2003-09-15,9683.0,9683.0,9439.0,9480.0,65280
2003-09-22,9280.0,9564.0,9256.0,9564.0,299013
2003-09-29,9542.0,9635.0,9195.0,9279.0,291247
2003-10-06,9674.0,9739.0,9504.0,9532.0,227286
2003-10-13,9698.0,9845.0,9676.0,9679.0,249596
2003-10-20,9572.0,9789.0,9469.0,9694.0,275698
2003-10-27,9763.0,9824.0,9553.0,9566.0,255032
2003-11-03,9773.0,9915.0,9738.0,9763.0,236867
2003-11-10,9753.0,9893.0,9699.0,9765.0,239204
2003-11-17,9633.0,9742.0,9577.0,9717.0,288142
2003-11-24,9787.0,9800.0,9623.0,9630.0,53959
2003-12-01,9858.0,9939.0,9750.0,9779.0,199354
2003-12-08,10035.0,10051.0,9828.0,9848.0,130584
2003-12-15,10237.0,10279.0,10012.0,10160.0,92672
2003-12-22,10292.0,10353.0,10190.0,10198.0,99730
2003-12-29,10398.0,10510.0,10292.0,10292.0,161609
2004-01-05,10433.0,10574.0,10418.0,10424.0,326690
2004-01-12,10575.0,10594.0,10341.0,10425.0,359389
2004-01-19,10551.0,10638.0,10472.0,10580.0,301982
2004-01-26,10468.0,10687.0,10360.0,10555.0,358919
2004-02-02,10556.0,10575.0,10417.0,10470.0,310937
2004-02-09,10623.0,10737.0,10542.0,10560.0,307957
2004-02-16,10623.0,10750.0,10577.0,10637.0,288128
2004-02-23,10582.0,10651.0,10516.0,10630.0,331133
2004-03-01,10601.0,10691.0,10505.0,10605.0,339812
2004-03-08,10228.0,10634.0,10097.0,10602.0,233700
2004-03-15,10154.0,10335.0,10092.0,10215.0,198829
2004-03-22,10179.0,10247.0,9974.0,10132.0,476658
2004-03-29,10457.0,10487.0,10192.0,10205.0,406288
2004-04-05,10429.0,10560.0,10372.0,10454.0,272117
2004-04-12,10438.0,10559.0,10294.0,10408.0,447247
2004-04-19,10454.0,10479.0,10226.0,10429.0,454532
