Price,Close,High,Low,Open,Volume
Ticker,ZO=F,ZO=F,ZO=F,ZO=F,ZO=F
Datetime,,,,,
2022-11-03 07:00:00+00:00,383.0,383.0,383.0,383.0,0
2022-11-03 09:00:00+00:00,382.0,383.0,382.0,383.0,7
2022-11-03 10:00:00+00:00,380.0,381.0,380.0,381.0,4
2022-11-03 12:00:00+00:00,382.5,382.5,381.25,381.25,9
2022-11-03 13:00:00+00:00,386.75,395.0,382.5,382.5,42
2022-11-03 14:00:00+00:00,385.5,392.25,383.5,386.0,28
2022-11-03 15:00:00+00:00,388.75,395.75,385.5,386.25,164
2022-11-03 16:00:00+00:00,390.5,392.75,385.5,387.0,0
2022-11-03 17:00:00+00:00,386.0,391.0,384.25,384.25,21
2022-11-03 18:00:00+00:00,381.5,388.25,381.5,385.5,118
2022-11-04 00:00:00+00:00,387.0,387.0,387.0,387.0,0
2022-11-04 05:00:00+00:00,387.5,391.25,387.5,391.25,4
2022-11-04 07:00:00+00:00,385.25,385.25,385.25,385.25,1
2022-11-04 08:00:00+00:00,387.25,387.25,387.25,387.25,1
2022-11-04 09:00:00+00:00,387.5,387.5,387.5,387.5,1
2022-11-04 10:00:00+00:00,387.5,392.5,387.5,387.5,4
2022-11-04 11:00:00+00:00,387.5,387.5,387.5,387.5,4
2022-11-04 12:00:00+00:00,395.0,395.0,390.0,390.0,0
2022-11-04 13:00:00+00:00,394.0,399.75,390.75,390.75,77
2022-11-04 14:00:00+00:00,393.25,397.0,392.25,394.25,11
2022-11-04 15:00:00+00:00,397.5,397.5,391.5,392.75,23
2022-11-04 16:00:00+00:00,395.0,398.0,393.75,397.75,16
2022-11-04 17:00:00+00:00,394.75,398.0,392.0,394.0,16
2022-11-04 18:00:00+00:00,391.25,395.0,386.75,395.0,0
2022-11-07 01:00:00+00:00,385.5,388.5,385.5,388.5,7
2022-11-07 04:00:00+00:00,391.0,391.0,391.0,391.0,94
2022-11-07 10:00:00+00:00,389.25,389.25,387.25,389.25,9
2022-11-07 11:00:00+00:00,389.25,389.25,389.25,389.25,1
