Price,Close,High,Low,Open,Volume
Ticker,ZO=F,ZO=F,ZO=F,ZO=F,ZO=F
Date,,,,,
1999-09-01,127.0,127.5,125.5,127.5,40
1999-10-01,128.5,128.5,126.0,127.0,379
1999-11-01,120.0,130.0,119.75,128.0,273
1999-12-01,117.0,122.0,115.5,120.0,1060
2000-01-01,120.0,122.75,116.75,117.25,459
2000-02-01,119.5,120.0,116.75,120.0,840
2000-03-01,122.25,124.25,118.0,119.5,1507
2000-04-01,124.0,126.5,119.5,124.0,1614
2000-05-01,119.0,132.5,118.75,126.75,3953
2000-06-01,103.75,120.5,103.75,120.5,18352
2000-07-01,106.5,113.5,99.5,103.75,17468
2000-08-01,98.0,107.5,96.5,107.0,13689
2000-09-01,101.0,99.0,98.25,98.25,65
2000-11-01,99.25,108.5,97.5,108.5,37
2001-01-01,102.75,107.0,104.5,107.0,6
2001-02-01,100.25,99.5,99.5,99.5,2
2001-03-01,107.0,109.0,103.75,106.0,8
2001-05-01,112.5,112.5,106.0,109.25,73
2001-06-01,107.5,115.0,104.0,115.0,87
2001-08-01,139.75,141.5,129.0,140.5,392
2001-09-01,134.0,145.25,134.0,141.5,156
2001-10-01,134.0,134.0,134.0,134.0,0
2001-11-01,216.5,220.5,134.0,134.0,14
2001-12-01,132.75,245.0,132.75,224.5,18
2002-01-01,202.0,203.0,132.75,132.75,14
2002-02-01,225.75,231.0,198.75,198.75,54
2002-03-01,199.0,244.25,197.0,234.75,73
2002-04-01,166.75,215.5,151.25,199.0,263
2002-05-01,185.0,194.5,140.5,176.5,59
2002-06-01,205.5,205.5,181.0,197.75,43
2002-07-01,178.5,220.25,163.0,213.75,94
2002-08-01,177.5,190.75,173.0,180.0,30
2002-10-01,134.0,134.0,134.0,134.0,0
2002-11-01,204.0,206.0,134.0,134.0,111
2003-01-01,200.25,218.0,134.0,134.0,58
2003-02-01,221.0,224.5,200.25,201.0,97
2003-03-01,189.25,223.0,175.0,223.0,32
2003-04-01,156.25,188.75,156.25,184.75,39
2003-05-01,147.75,175.0,143.0,167.75,60
2003-07-01,139.75,156.0,124.25,155.75,55
2003-08-01,139.0,146.0,132.25,139.75,87
2003-09-01,134.0,149.5,134.0,145.0,8
2003-10-01,134.0,134.0,134.0,134.0,0
2003-11-01,141.0,143.5,134.0,134.0,10576
2003-12-01,146.25,152.75,138.5,140.5,20978
2004-01-01,156.75,162.75,152.0,152.0,54
2004-03-01,174.0,181.0,152.0,157.0,164
2004-04-01,173.0,178.75,160.0,174.0,180
2004-05-01,147.75,173.5,144.0,171.0,69
2004-06-01,132.75,156.0,139.75,153.0,153
2004-07-01,121.75,143.75,121.75,132.75,70
2004-09-01,144.25,174.0,142.0,146.5,166
2004-10-01,142.75,148.5,137.0,144.0,202
2004-11-01,168.0,153.25,136.5,141.5,85
2004-12-01,156.25,175.0,155.25,168.75,99
2005-01-01,167.25,170.0,156.0,156.0,186
2005-02-01,161.5,167.5,156.5,167.5,93
2005-03-01,157.75,177.75,148.0,161.5,234
2005-04-01,138.75,164.0,138.75,157.0,129
2005-06-01,151.25,157.0,135.0,135.75,197
2005-07-01,162.75,182.0,160.0,160.0,37
2005-08-01,147.0,162.75,142.0,162.75,35
2005-09-01,161.5,161.5,142.25,142.5,70
2005-10-01,158.75,170.75,160.25,162.0,108
2005-11-01,185.0,185.0,158.5,158.75,52
2005-12-01,195.0,220.5,184.0,200.0,50
2006-02-01,182.0,203.0,186.5,192.0,154
2006-03-01,173.5,184.0,168.0,179.5,43
2006-04-01,188.25,188.25,169.0,170.0,58
2006-05-01,182.0,204.0,180.25,188.0,150
2006-06-01,212.75,212.75,183.5,183.5,103
2006-07-01,189.5,231.5,189.0,214.5,110
2006-08-01,182.0,192.0,172.75,192.0,198
2006-09-01,206.25,210.0,183.75,183.75,2798
2006-11-01,256.75,279.5,233.75,233.75,5164
2006-12-01,271.0,280.75,247.5,256.0,3086
2007-01-01,257.25,279.5,246.5,275.0,3925
2007-02-01,253.0,261.75,237.0,257.5,5015
2007-03-01,276.5,302.0,238.5,252.0,5296
2007-05-01,281.0,286.75,248.0,262.5,3368
2007-06-01,278.5,300.0,255.0,284.75,6843
2007-08-01,242.0,264.75,235.0,261.0,1143
2007-09-01,289.75,287.5,251.0,257.0,5315
2007-10-01,287.75,290.0,267.75,286.75,8152
2007-11-01,269.5,300.75,264.0,286.0,11009
2007-12-01,306.75,314.5,260.0,269.0,4385
2008-01-01,329.25,351.0,303.75,306.25,20313
2008-02-01,422.0,423.75,323.5,329.25,23325
2008-03-01,371.25,438.5,335.0,426.0,17656
2008-04-01,377.0,405.75,352.0,368.0,19009
2008-05-01,382.0,414.5,372.5,378.5,13917
2008-07-01,377.5,459.75,375.5,444.0,4765
2008-08-01,345.25,389.75,336.25,381.0,6006
2008-09-01,316.0,350.0,313.5,336.0,9989
2008-10-01,231.5,324.75,219.0,317.75,20965
2008-11-01,201.5,250.0,191.0,237.5,11980
2008-12-01,210.0,238.25,184.5,194.5,6137
2009-01-01,205.0,234.0,196.0,213.5,12247
2009-04-01,194.0,203.0,172.0,194.25,17440
2009-05-01,251.0,260.0,194.25,194.25,10039
2009-06-01,214.75,264.0,195.5,249.75,20752
2009-07-01,198.0,223.25,188.25,216.5,4522
2009-08-01,210.75,224.0,192.0,199.75,5172
2009-09-01,233.0,238.5,186.75,212.0,10187
2009-10-01,254.5,268.0,216.25,233.0,22377
2009-12-01,277.0,281.0,242.5,254.0,8459
2010-01-01,228.0,280.25,218.0,276.25,21768
2010-02-01,221.0,237.75,216.0,225.0,15290
2010-03-01,208.0,225.5,205.75,221.75,10027
2010-04-01,205.25,220.0,193.5,211.25,14941
2010-05-01,191.0,211.0,188.25,208.0,8396
2010-06-01,255.0,281.5,190.5,193.0,24029
2010-07-01,271.0,274.25,238.5,258.5,7350
2010-09-01,342.0,368.5,268.0,273.75,10612
2010-10-01,368.0,388.0,330.25,341.0,17444
2010-11-01,340.0,386.75,333.0,370.25,17739
2010-12-01,394.0,407.5,335.0,339.75,7690
2011-01-01,396.0,404.0,368.5,393.75,19273
2011-02-01,371.25,427.5,355.25,392.0,18193
2011-03-01,367.25,384.5,313.5,369.25,13403
2011-04-01,342.5,405.0,330.75,372.25,14174
2011-06-01,334.0,402.5,325.0,388.0,20911
2011-07-01,345.5,367.75,338.0,338.0,4726
2011-08-01,370.0,390.0,323.0,345.0,6362
2011-09-01,328.0,375.5,321.0,367.0,13064
2011-10-01,334.5,347.0,313.0,327.0,16863
2011-11-01,343.75,343.75,288.75,334.0,21926
2011-12-01,309.5,344.75,294.0,344.25,4349
2012-02-01,330.0,334.0,298.5,299.5,15249
2012-03-01,341.25,350.0,310.25,330.0,13001
2012-05-01,280.75,344.0,262.25,336.25,16435
2012-06-01,336.0,378.75,276.5,283.0,12821
2012-08-01,388.5,399.5,363.0,383.25,3175
2012-09-01,370.5,395.75,361.5,384.5,7660
2012-10-01,389.0,404.5,358.0,370.75,16835
2012-11-01,360.75,391.75,350.0,389.0,15323
2012-12-01,347.5,394.0,343.25,366.25,8545
2013-01-01,360.0,369.75,328.5,348.5,16233
2013-02-01,391.75,397.5,357.25,359.0,17400
2013-03-01,396.25,430.0,390.0,390.0,8453
2013-04-01,415.5,431.0,355.0,395.0,18465
2013-05-01,374.25,429.5,351.25,413.0,8991
2013-06-01,401.25,413.0,372.0,376.0,13565
2013-07-01,340.25,405.0,330.5,400.0,2689
2013-08-01,391.5,397.75,333.0,341.0,1969
2013-10-01,330.25,348.25,310.25,317.75,15328
2013-11-01,365.25,390.0,328.0,331.5,11254
2014-01-01,405.75,427.5,340.75,357.0,10941
2014-02-01,510.5,533.0,404.5,406.0,13487
2014-03-01,399.0,600.0,386.0,520.0,8050
2014-04-01,418.5,438.5,390.5,400.0,9866
2014-05-01,371.0,423.5,326.5,418.5,5959
2014-07-01,354.5,398.75,328.0,340.0,2093
2014-08-01,362.25,388.0,342.25,354.0,2123
2014-09-01,335.5,401.25,326.0,379.75,5883
2014-10-01,336.25,372.5,331.0,334.0,11395
2014-11-01,294.5,348.5,289.0,335.25,10609
2014-12-01,303.75,326.0,290.25,290.25,3262
